date,max_temperature,avg_hourly_temperature,avg_temperature,min_temperature,max_humidex,min_windchill,max_relative_humidity,avg_hourly_relative_humidity,avg_relative_humidity,min_relative_humidity,max_dew_point,avg_hourly_dew_point,avg_dew_point,min_dew_point,max_wind_speed,avg_hourly_wind_speed,avg_wind_speed,min_wind_speed,max_wind_gust,wind_gust_dir_10s,max_pressure_sea,avg_hourly_pressure_sea,avg_pressure_sea,min_pressure_sea,max_pressure_station,avg_hourly_pressure_station,avg_pressure_station,min_pressure_station,max_visibility,avg_hourly_visibility,avg_visibility,min_visibility,max_health_index,avg_hourly_health_index,avg_health_index,min_health_index,heatdegdays,cooldegdays,growdegdays_5,growdegdays_10,precipitation,rain,snow,snow_on_ground,sunrise,sunset,sunlight,sunrise_f,sunset_f,min_uv_forecast,max_uv_forecast,min_high_temperature_forecast,max_high_temperature_forecast,min_low_temperature_forecast,max_low_temperature_forecast,solar_radiation,max_cloud_cover_4,avg_hourly_cloud_cover_4,avg_cloud_cover_4,min_cloud_cover_4,max_cloud_cover_8,avg_hourly_cloud_cover_8,avg_cloud_cover_8,min_cloud_cover_8,max_cloud_cover_10,avg_hourly_cloud_cover_10,avg_cloud_cover_10,min_cloud_cover_10
2018-12-01,0.4,-0.12,-0.09,-0.6,,-6,82,78.7,78.5,75,-2.9,-3.4,-3.5,-4,21,11.54,12,3,33,8,102.4,102.22,102.15,101.9,101.97,101.79,101.72,101.46,24100,24100,24100,24100,,,,,18.1,0,0,0,0,0,0,0,07:14:00,16:13:00,8.98,7.23,16.22,1,2,2,2,-1,-1,2545,,,,,8,7.8,7.5,7,,,,
2018-11-30,0.8,0.19,0.2,-0.4,,-3,83,75.9,78,73,-2.3,-3.6,-3.2,-4,14,9.54,9.5,5,,,102,101.75,101.8,101.6,101.56,101.3,101.33,101.1,24100,24100,24100,24100,,,,,17.8,0,0,0,0,0,0,,07:13:00,16:14:00,9.02,7.22,16.23,1,1,2,2,-1,-1,1314,,,,,8,8,8,8,,,,
2018-11-29,2.8,1.47,1.7,0.6,,,87,78.7,80,73,-0.5,-1.9,-1.9,-3.2,26,15.42,18,10,33,29,101.6,101.14,101.05,100.5,101.1,100.69,100.58,100.07,24100,24100,24100,24100,,,,,16.3,0,0,0,0,0,0,2,07:12:00,16:14:00,9.03,7.2,16.23,1,1,4,4,-2,-2,3887,,,,,8,7.9,7.5,7,,,,
2018-11-28,2.4,1.35,1.35,0.3,,,97,90.5,91,85,0.6,0,0,-0.6,20,13.08,13.5,7,,,100.5,99.67,99.85,99.2,100.02,99.23,99.38,98.74,24100,15950,13650,3200,,,,,16.6,0,0,0,5.2,0.4,4.8,5,07:10:00,16:15:00,9.08,7.17,16.25,,,2,3,-1,-1,3162,,,,,8,7.9,7,6,,,,
2018-11-27,1.1,0.36,0.45,-0.2,,-7,97,93.1,93,89,0.1,-0.6,-0.6,-1.3,37,25.92,25,13,50,5,100.2,99.66,99.7,99.2,99.78,99.22,99.27,98.76,24100,8250,12650,1200,,,,,17.6,0,0,0,9.2,0,9.2,1,07:09:00,16:15:00,9.1,7.15,16.25,,,0,0,0,1,2180,,,,,8,7,5.5,3,,,,
2018-11-26,4.2,1.85,2.35,0.5,,,98,95.1,93,88,2.4,1.1,1.4,0.3,31,17.04,18.5,6,41,7,101.4,100.96,100.85,100.3,100.93,100.51,100.39,99.85,24100,11079.2,12550,1000,,,,,15.7,0,0,0,4,4,0,2,07:08:00,16:16:00,9.13,7.13,16.27,1,1,3,3,0,0,1723,,,,,8,8,8,8,,,,
2018-11-25,3.5,1.3,1.45,-0.6,,-5,98,96.7,95,92,3.1,0.8,0.8,-1.5,16,9.17,9,2,,,101.3,101.02,101.05,100.8,100.88,100.57,100.61,100.35,8100,4337.5,4650,1200,,,,,16.6,0,0,0,19,19,0,4,07:07:00,16:16:00,9.15,7.12,16.27,,,4,4,1,2,809,,,,,8,8,8,8,,,,
2018-11-24,2,-1.9,-3.8,-9.6,,-10,92,68.4,74,56,-1.1,-7.1,-6.5,-11.9,17,9.54,9.5,2,,,102.1,101.55,101.55,101,101.66,101.09,101.09,100.51,48300,25191.7,28200,8100,,,,,21.8,0,0,0,1.8,1.8,0,5,07:05:00,16:17:00,9.2,7.08,16.28,1,1,1,1,-1,-1,6524,,,,,8,6.5,4.5,1,,,,
2018-11-23,-3.5,-9.31,-10.05,-16.6,,-24,82,65.8,64.5,47,-10.1,-14.8,-14.6,-19.1,18,12.08,13,8,,,103.6,102.96,102.85,102.1,103.1,102.49,102.39,101.68,48300,32166.7,36200,24100,,,,,28.1,0,0,0,0,0,0,6,07:04:00,16:18:00,9.23,7.07,16.3,2,2,-6,-5,-6,-6,7751,,,,,8,4.4,4.5,1,,,,
2018-11-22,-9.4,-13.41,-13.6,-17.8,,-27,77,61.8,62.5,48,-17,-19.5,-19.5,-22,32,21.17,20.5,9,48,29,103.5,103.12,103.05,102.6,103.05,102.64,102.59,102.13,24100,24100,24100,24100,,,,,31.6,0,0,0,0,0,0,6,07:03:00,16:19:00,9.27,7.05,16.32,1,1,-10,-9,-16,-14,8975,,,,,3,1.2,1.5,0,,,,
2018-11-21,-2.8,-7.92,-9.4,-16,,-25,89,71.3,72,55,-5.5,-12.4,-13.6,-21.7,35,21.88,22,9,50,28,102.6,101.49,101.7,100.8,102.1,101.04,101.22,100.34,24100,20450,12850,1600,,,,,27.4,0,0,0,2,0,2.4,7,07:02:00,16:19:00,9.28,7.03,16.32,1,1,-4,-3,-15,-13,4391,,,,,8,5.5,4.5,1,,,,
2018-11-20,-3.6,-6.03,-5.4,-7.2,,-15,87,83.5,83,79,-5.9,-8.4,-8,-10,25,17.62,15,5,33,3,101.7,101.54,101.55,101.4,101.23,101.08,101.08,100.92,24100,12475,12650,1200,,,,,23.4,0,0,0,4.2,0,4.8,5,07:00:00,16:20:00,9.33,7,16.33,,,-4,-4,-7,-7,3813,,,,,8,7.3,6,4,,,,
2018-11-19,1,-0.97,-1.3,-3.6,,-10,94,82.5,83.5,73,-1.8,-3.6,-4.1,-6.4,22,9.17,12.5,3,33,5,102.1,101.85,101.9,101.7,101.64,101.39,101.46,101.28,24100,19070.8,13850,3600,,,,,19.3,0,0,0,1.6,0,1.6,5,06:59:00,16:21:00,9.37,6.98,16.35,1,1,2,2,-4,-4,4311,,,,,8,8,7.5,7,,,,
2018-11-18,-2.1,-5.7,-7.65,-13.2,,-16,88,70.8,74.5,61,-7,-10.3,-10.9,-14.9,17,8.62,9,1,,,103,102.67,102.6,102.2,102.53,102.21,102.11,101.7,48300,31158.3,36200,24100,,,,,25.6,0,0,0,0,0,0,5,06:58:00,16:22:00,9.4,6.97,16.37,2,2,-2,-2,-3,-3,8078,,,,,8,4.9,4.5,1,,,,
2018-11-17,2.6,-0.4,-1.99,-6.6,,-10,90,76.2,76.5,63,-0.8,-4.2,-5.8,-10.7,25,15.58,17.5,10,33,29,102.6,101.69,101.7,100.8,102.15,101.24,101.26,100.37,24100,21366.7,16900,9700,,,,,20,0,0,0,0.2,0,0.2,7,06:56:00,16:23:00,9.45,6.93,16.38,1,1,3,3,-9,-9,3490,,,,,8,6.1,4.5,1,,,,
2018-11-16,-1.7,-3.75,-3.25,-4.8,,-11,93,88.7,80.5,68,-4.4,-5.4,-7,-9.5,22,12.67,12.5,3,,,101.8,100.87,101.14,100.48,101.36,100.41,100.69,100.01,24100,6737.5,12650,1200,,,,,21.2,0,0,0,9.8,0,11.2,4,06:55:00,16:24:00,9.48,6.92,16.4,,,-1,-1,-3,-2,3403,,,,,8,7,6.5,5,,,,
2018-11-15,-4.1,-7.14,-7.7,-11.3,,-16,77,66,66,55,-9.6,-12.6,-12.1,-14.5,20,11.75,11.5,3,,,103.8,103.2,102.9,102,103.33,102.73,102.44,101.55,48300,30150,36200,24100,,,,,25.7,0,0,0,0,0,0,,06:53:00,16:25:00,9.53,6.88,16.42,2,2,-4,-4,-5,-4,5977,,,,,8,6.7,4.5,1,,,,
2018-11-14,-6.8,-8.98,-8.8,-10.8,,-20,67,54.6,56,45,-15,-16.6,-17.1,-19.3,36,22.67,21.5,7,55,27,103.7,102.99,102.9,102.1,103.25,102.54,102.44,101.64,24100,24100,24100,24100,,,,,26.8,0,0,0,0,0,0,,06:52:00,16:26:00,9.57,6.87,16.43,1,2,-6,-6,-11,-11,6866,,,,,8,3.2,4,0,,,,
2018-11-13,2.8,-0.51,-2.7,-8.2,,-16,96,83.5,75.5,55,1.5,-3.2,-6.8,-15.1,42,17.46,23,4,59,29,102.5,101.78,101.85,101.2,102,101.33,101.38,100.76,24100,16625,14450,4800,,,,,20.7,0,0,0,7,6.6,0.4,,06:51:00,16:27:00,9.6,6.85,16.45,,,4,4,-10,-10,1898,,,,,8,6.7,4.5,1,,,,
